Price,Location,Latitude,Longitude,Link,Title,Description,Square Meter Land,Square Meter Construction,Bathroom,Bedroom,Source
"['6,500']","Renta Departamentos CENTRO, Nuevo León",25.6928723,-100.3052404,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30800125&Plaza=2&colonia-inmueble=ASARCO&Imagenes=16&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: ASARCO,"ASARCO 1 Recámara 1baño $6,500  81-1255-3138. El departamento amueblado cuenta con: Recamara, TV, cajoneras, comedor, sala, estufa, frigobar, lavadora y secadora, clima. la renta incluye pago de servicio de agua, gas y servicio de izzi televisión.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['23,000']","Renta Departamentos CENTRO, Nuevo León",25.672899029830795,-100.29955387115479,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30799766&Plaza=2&colonia-inmueble=BARRIO ANTIGUO LA CAPITAL&Imagenes=13&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: BARRIO ANTIGUO LA CAPITAL,"BARRIO ANTIGUO LA CAPITAL 2 Recámaras 2baños $23000 Departamento en renta equipado y amueblado, con excelentes espacios y vistas al Paseo Santa Lucía. Cuenta con 2 recámaras, la principal con amplio baño vestidor, la secundaria con clóset grande y un baño completo frente en el pasillo. Sala comedor con vista al paseo Santa Lucía. Cocina equipada completamente (refrigerador, parrilla eléctrica) y lavadora secadora. Además cuenta con 2 camas, Muebles de madera, 2 Pantallas de TV y escritorio de trabajo. Dos espacios de estacionamiento. La torre cuenta con amenidades como alberca, Terrazas, business center, acceso directo al Paseo y a escasos minutos caminando del parque Fundidora. Listo para habitarse! Edith Jimenez 8115160367 81-1516-0367.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['5,500']","Renta Departamentos CENTRO, Nuevo León",25.6461465,-100.090656,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30833644&Plaza=2&colonia-inmueble=BENITO JUAREZ&Imagenes=9&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: BENITO JUAREZ,"BENITO JUAREZ 2 Recámaras 1baño semiequipado $5,500  con barra con tarja para lavar trastes, campana de cocina, calentador de agua, cajoneras, a 3 cuadras de la Clínica 17 del IMSS. No mascotas, No incluye servicios. Informes de 10 a 7 p.m. 81-8362-0540,",Null,Null,1 Baño,2 Recámaras,['avisosdeocasion']
"['3,500']","Renta Departamentos CENTRO, Nuevo León",25.7150503,-100.3378608,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30841805&Plaza=2&colonia-inmueble=BERNARDO REYES&Imagenes=8&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: BERNARDO REYES,"BERNARDO REYES 1 Recámara 1baño $3,500  amueblado sala comedor cocina minisplit 81-1377-0842.",Null,Null,1 Baño,1 Recámara,['avisosdeocasion']
"['12,800']","Renta Departamentos CENTRO, Nuevo León",Null,Null,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30850167&Plaza=2&colonia-inmueble=CENTRIKA&Imagenes=0&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA,,Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['14,000']","Renta Departamentos CENTRO, Nuevo León",25.6968471584827,-100.310150164404,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30816024&Plaza=2&colonia-inmueble=CENTRIKA CRISOLES Torres Centrika&Imagenes=19&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA CRISOLES Torres Centrika,"CENTRIKA CRISOLES Torres Centrika 2 Recámaras 2baños $14,000  amueblado y equipado, seguridad privada, preciosas vistas, para profesionistas, gym, sky lounge,  Recámaras principal con baño vestidor, cerca centro comercial, Cervecería, CEMEX, Ternium. 81-1392-3784 81-1392-3784. Apartamento nuevo con vistas preciosas de montañas y ciudad en Torres Centrika en centro de Monterrey Ave V. Guerrero y Anaya. Seguridad, vigilancia 24/7, dos elevadores. 2 recámaras con vistas lago, 2 baños completos, rec principal con baño vestidor, 2nda rec con balcón, centro de lavado interior, cocineta con barra desayuno, lavavajillas, climas y abanicos de techo en todas áreas, todo nuevo. Estacionamiento asignado. Disfrute gimnasio, casa club, palapa, parque y lago, cerca de principales avenidas, Walmart, centro comercial, cines, restaurantes, transp público. Todo a su alcance. Ideal para ejecutivos (as) CEMEX, TERNIUM, CERVECERÍA. cel 81 13 92 3784. New apartment w spectacular views. Centrally located w private security 24/7 2 bed 2 bath, main bedroom w en-suite and walk-in closet, Indoor laundry. Spacious, fitted kitchen w bfast bar and dishwasher, 3 A/C, car parking, gym, sky lounge, etc. 5 min Ternium, CEMEX, Cervecería. Phone + + 81 13 92 3784.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['14,500']","Renta Departamentos CENTRO, Nuevo León",25.6981265,-100.3087967,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30809582&Plaza=2&colonia-inmueble=CENTRIKA ELITE&Imagenes=35&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA ELITE,"CENTRIKA ELITE 2 Recámaras 2baños $14500 834-144-1015. 83-4144-1015. SE INCLUYE LA CUOTA DE MTTO, TODO ES NUEVO",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['6,000']","Renta Departamentos CENTRO, Nuevo León",25.6950696,-100.3078097,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30824970&Plaza=2&colonia-inmueble=CENTRIKA PRIVADA VICTORIA&Imagenes=6&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA PRIVADA VICTORIA,"CENTRIKA PRIVADA VICTORIA 2 Recámaras 2baños $6,000 Departamento funcional en planta baja, con 2 baños completos, excelente privada, caseta de vigilancia 24 horas, Se acepta solo pareja o familia. Informes  8116-95-9683.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['10,000']","Renta Departamentos CENTRO, Nuevo León",25.6950696,-100.3078097,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30836274&Plaza=2&colonia-inmueble=CENTRIKA VICTORIA&Imagenes=8&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA VICTORIA,"CENTRIKA VICTORIA 2 Recámaras 2baños $10,000  81-1027-2049.",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
"['10,500']","Renta Departamentos CENTRO, Nuevo León",25.6980487659083,-100.30875892453689,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=30825848&Plaza=2&colonia-inmueble=CENTRIKA VICTORIA ELITE&Imagenes=14&idinmueble=500&Grupo=1&Zonas=60&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,ZONA: CENTRO COLONIA: CENTRIKA VICTORIA ELITE,"CENTRIKA VICTORIA ELITE 2 Recámaras 2baños $10,500  PRECIOSO DEPARTAMENTO EN SEGUNDA PLANTA Y FRENTE A PARQUE. 2 RECAMARAS Y 2 BAÑOS, SALA-COMEDOR, COCINA, LAVANDERIA, CAJON ESTACIONAMIENTO. MINISPLITS, UNO ES INVERTER. EQUIPADISIMO. TOTAL SEGURIDAD. 8184646484",Null,Null,2 Baños,2 Recámaras,['avisosdeocasion']
